"","Metabolite","beta","Std..Error","z.value","pval","lci","uci","OR","Pval","LCI","UCI"
"179","EstC",0.910067167,0.03053199,-3.086496246,0.002025305,0.857130357,0.966131834,0.910067167,0.002025305,0.857130357,0.966131834
"180","FreeC",0.9227055,0.0304334,-2.643318342,0.008209781,0.86920763,0.979371668,0.9227055,0.008209781,0.86920763,0.979371668
"181","Serum.TG",1.065492113,0.030367436,2.088973526,0.036710106,1.004078953,1.131069082,1.065492113,0.036710106,1.004078953,1.131069082
"182","VLDL.TG",1.076984686,0.030438308,2.436573622,0.014827151,1.014806051,1.143468708,1.076984686,0.014827151,1.014806051,1.143468708
"183","LDL.TG",0.956819717,0.030091924,-1.466848358,0.142417312,0.901985727,1.014953016,0.956819717,0.142417312,0.901985727,1.014953016
"184","HDL.TG",1.028554746,0.030251148,0.930697162,0.352010238,0.969403821,1.091497121,1.028554746,0.352010238,0.969403821,1.091497121
"185","TotPG",0.956624149,0.030407134,-1.45836509,0.144739938,0.901220551,1.015339967,0.956624149,0.144739938,0.901220551,1.015339967
"186","TG.PG",1.087723546,0.030372522,2.768522901,0.005631103,1.02502096,1.154665232,1.087723546,0.005631103,1.02502096,1.154665232
"187","PC",0.957218107,0.030397704,-1.438398313,0.150321071,0.901796165,1.015951146,0.957218107,0.150321071,0.901796165,1.015951146
"188","SM",0.921170527,0.030415522,-2.699611873,0.006942041,0.867770802,0.977685582,0.921170527,0.006942041,0.867770802,0.977685582
